"client","route","role","screen","source","backend_dependency","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","success_state","primary_actions","current_test_coverage"
"flutter_android_authoritative","/adult/profile","adult","ProfileSetupScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","flutter_mort/test/profile_persistence_contract_test.dart"
"flutter_android_authoritative","/adult/proof-review/:applicationId","adult","ProofReviewScreen","flutter_mort/lib/features/jobs/proof_review_screen.dart","applicationsRepositoryProvider; uploadsRepositoryProvider","detected","detected","detected","detected","not_detected","route_guard_detected","detected","detected","Mark this job complete?; Review completion proof; Approve the current proof or explain what needs to be resubmitted. Proof access remains limited to authorized participants.; Proof unavailable; Retry; No proof submitted; Private image unavailable; Private completion proof image; Image could not load; Review note; Approve proof; Request new proof","no_direct_static_reference"
"flutter_android_authoritative","/adult/verification","adult","IdentityVerificationScreen","flutter_mort/lib/features/safety/trust_safety_screens.dart","trustSafetyRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Loading verification status; Identity verification; Public marketplace participation stays closed until secure production verification is available. Guardian Mode remains optional.; Verification unavailable; Verification is not a safety guarantee; Identity verification is not accepting public submissions yet.; Sandbox restricted; TEST MODE; Start simulated verification; Production provider unavailable; Provider session required; Request another review","no_direct_static_reference"
"flutter_android_authoritative","/applications/:applicationId/safety","authenticated_or_public","JobSafetyWorkspaceScreen","flutter_mort/lib/features/safety/trust_safety_screens.dart","trustSafetyRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Loading verification status; Identity verification; Public marketplace participation stays closed until secure production verification is available. Guardian Mode remains optional.; Verification unavailable; Verification is not a safety guarantee; Identity verification is not accepting public submissions yet.; Sandbox restricted; TEST MODE; Start simulated verification; Production provider unavailable; Provider session required; Request another review","no_direct_static_reference"
"flutter_android_authoritative","/auth-callback","authenticated_or_public","SplashScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","public_route","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference"
"flutter_android_authoritative","/auth/forgot-password","authenticated_or_public","ForgotPasswordScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","public_route","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference"
"flutter_android_authoritative","/auth/sign-in","authenticated_or_public","SignInScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","public_route","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference"
"flutter_android_authoritative","/auth/sign-up","authenticated_or_public","SignUpScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","public_route","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference"
"flutter_android_authoritative","/block/user/:id","authenticated_or_public","BlockUserScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference"
"flutter_android_authoritative","/contracts","authenticated_or_public","JobContractsScreen","flutter_mort/lib/features/legal/contract_payment_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact work, pay, and safety terms; MORT creates a fixed agreement after an application is accepted. Material changes require both parties.; Agreements unavailable; No job agreements yet; Job contract review; One party cannot silently change pay, scope, hours, location, hazards, expenses, or payment timing.; Agreement unavailable; No agreement version; Parties and scope; Time, place, and payment; Safety and changes; Confirmation sentence","no_direct_static_reference"
