"client","route","role","purpose","screen","source","backend_dependency","authorization_requirement","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","nonrecoverable_error_state","success_state","accessibility","deep_link_support","analytics_event","primary_actions","current_test_coverage","remaining_defect"
"flutter_android_authoritative","/mission/document-review","authenticated_or_public","Pilot eligibility","DocumentReviewStatusScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/earnings-goals","teen","Pilot eligibility","EarningsGoalsScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","teen_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/future-independence","teen","Pilot eligibility","FutureIndependenceScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","teen_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/partner-affiliation","authenticated_or_public","Pilot eligibility","PartnerAffiliationScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/partner-invitation","authenticated_or_public","Pilot eligibility","PartnerInvitationScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/pilot-eligibility","authenticated_or_public","Pilot eligibility","PilotEligibilityScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/pilot-job-safety","authenticated_or_public","Pilot eligibility","PilotJobSafetyScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/resources","teen","Pilot eligibility","ResourceDirectoryScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","teen_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/support-circle","teen","Pilot eligibility","SupportCircleScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","teen_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/mission/verification-wording","authenticated_or_public","Pilot eligibility","VerificationExplanationScreen","flutter_mort/lib/features/mission/mission_pilot_screens.dart","missionPilotRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Pilot eligibility; Approved organization support and hosted server rules control protected marketplace access.; Pilot access unavailable; Try again; Guardian Mode; Permanent address; Public marketplace; Real document collection; Payment custody; Partner invitation; Partner attestations; Acknowledge teen rules","no_direct_static_reference","no_direct_static_test_reference"
